,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,39109,BANKNIFTY01DEC2235000CE,BANKNIFTY,01DEC2022,3500000.000000,25,OPTIDX,NFO,5.000000
2,49458,BANKNIFTY03NOV2240800PE,BANKNIFTY,03NOV2022,4080000.000000,25,OPTIDX,NFO,5.000000
3,49227,BANKNIFTY03NOV2237300CE,BANKNIFTY,03NOV2022,3730000.000000,25,OPTIDX,NFO,5.000000
4,57085,BANKNIFTY27OCT2236000CE,BANKNIFTY,27OCT2022,3600000.000000,25,OPTIDX,NFO,5.000000
5,43027,BANKNIFTY01DEC2236800PE,BANKNIFTY,01DEC2022,3680000.000000,25,OPTIDX,NFO,5.000000
6,57131,BANKNIFTY30MAR2340500CE,BANKNIFTY,30MAR2023,4050000.000000,25,OPTIDX,NFO,5.000000
7,50414,BANKNIFTY01DEC2240000PE,BANKNIFTY,01DEC2022,4000000.000000,25,OPTIDX,NFO,5.000000
8,42262,BANKNIFTY10NOV2236700PE,BANKNIFTY,10NOV2022,3670000.000000,25,OPTIDX,NFO,5.000000
9,49442,BANKNIFTY03NOV2240500PE,BANKNIFTY,03NOV2022,4050000.000000,25,OPTIDX,NFO,5.000000
10,57089,BANKNIFTY27OCT2236200CE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
11,49700,BANKNIFTY03NOV2244500CE,BANKNIFTY,03NOV2022,4450000.000000,25,OPTIDX,NFO,5.000000
12,60746,BANKNIFTY24NOV2241800PE,BANKNIFTY,24NOV2022,4180000.000000,25,OPTIDX,NFO,5.000000
13,50692,BANKNIFTY01DEC2244000CE,BANKNIFTY,01DEC2022,4400000.000000,25,OPTIDX,NFO,5.000000
14,42457,BANKNIFTY10NOV2241600CE,BANKNIFTY,10NOV2022,4160000.000000,25,OPTIDX,NFO,5.000000
15,45468,BANKNIFTY01DEC2237300PE,BANKNIFTY,01DEC2022,3730000.000000,25,OPTIDX,NFO,5.000000
16,46575,BANKNIFTY17NOV2234500PE,BANKNIFTY,17NOV2022,3450000.000000,25,OPTIDX,NFO,5.000000
17,85381,BANKNIFTY29DEC2236900PE,BANKNIFTY,29DEC2022,3690000.000000,25,OPTIDX,NFO,5.000000
18,85496,BANKNIFTY29DEC2239100CE,BANKNIFTY,29DEC2022,3910000.000000,25,OPTIDX,NFO,5.000000
19,35157,BANKNIFTY10NOV2231000CE,BANKNIFTY,10NOV2022,3100000.000000,25,OPTIDX,NFO,5.000000
20,50352,BANKNIFTY01DEC2238200CE,BANKNIFTY,01DEC2022,3820000.000000,25,OPTIDX,NFO,5.000000
21,85400,BANKNIFTY29DEC2238000CE,BANKNIFTY,29DEC2022,3800000.000000,25,OPTIDX,NFO,5.000000
22,49083,BANKNIFTY03NOV2233500PE,BANKNIFTY,03NOV2022,3350000.000000,25,OPTIDX,NFO,5.000000
23,42473,BANKNIFTY10NOV2242100CE,BANKNIFTY,10NOV2022,4210000.000000,25,OPTIDX,NFO,5.000000
24,46792,BANKNIFTY17NOV2241400CE,BANKNIFTY,17NOV2022,4140000.000000,25,OPTIDX,NFO,5.000000
25,49120,BANKNIFTY03NOV2234000CE,BANKNIFTY,03NOV2022,3400000.000000,25,OPTIDX,NFO,5.000000
26,42371,BANKNIFTY10NOV2239500PE,BANKNIFTY,10NOV2022,3950000.000000,25,OPTIDX,NFO,5.000000
27,38713,BANKNIFTY27OCT2241600CE,BANKNIFTY,27OCT2022,4160000.000000,25,OPTIDX,NFO,5.000000
28,60662,BANKNIFTY24NOV2239900PE,BANKNIFTY,24NOV2022,3990000.000000,25,OPTIDX,NFO,5.000000
29,46686,BANKNIFTY17NOV2237200CE,BANKNIFTY,17NOV2022,3720000.000000,25,OPTIDX,NFO,5.000000
30,50419,BANKNIFTY01DEC2240100PE,BANKNIFTY,01DEC2022,4010000.000000,25,OPTIDX,NFO,5.000000
31,85544,BANKNIFTY29DEC2239600PE,BANKNIFTY,29DEC2022,3960000.000000,25,OPTIDX,NFO,5.000000
32,38413,BANKNIFTY01DEC2233500PE,BANKNIFTY,01DEC2022,3350000.000000,25,OPTIDX,NFO,5.000000
33,46824,BANKNIFTY17NOV2242100PE,BANKNIFTY,17NOV2022,4210000.000000,25,OPTIDX,NFO,5.000000
34,85404,BANKNIFTY29DEC2238200CE,BANKNIFTY,29DEC2022,3820000.000000,25,OPTIDX,NFO,5.000000
35,49327,BANKNIFTY03NOV2239400PE,BANKNIFTY,03NOV2022,3940000.000000,25,OPTIDX,NFO,5.000000
36,57229,BANKNIFTY27OCT2244500CE,BANKNIFTY,27OCT2022,4450000.000000,25,OPTIDX,NFO,5.000000
37,42363,BANKNIFTY10NOV2239400PE,BANKNIFTY,10NOV2022,3940000.000000,25,OPTIDX,NFO,5.000000
38,46780,BANKNIFTY17NOV2240800CE,BANKNIFTY,17NOV2022,4080000.000000,25,OPTIDX,NFO,5.000000
39,44830,BANKNIFTY29DEC2246500CE,BANKNIFTY,29DEC2022,4650000.000000,25,OPTIDX,NFO,5.000000
40,57185,BANKNIFTY27OCT2239900CE,BANKNIFTY,27OCT2022,3990000.000000,25,OPTIDX,NFO,5.000000
41,42378,BANKNIFTY10NOV2239700PE,BANKNIFTY,10NOV2022,3970000.000000,25,OPTIDX,NFO,5.000000
42,57119,BANKNIFTY30MAR2331500CE,BANKNIFTY,30MAR2023,3150000.000000,25,OPTIDX,NFO,5.000000
43,36399,BANKNIFTY03NOV2235600PE,BANKNIFTY,03NOV2022,3560000.000000,25,OPTIDX,NFO,5.000000
44,49253,BANKNIFTY03NOV2237500PE,BANKNIFTY,03NOV2022,3750000.000000,25,OPTIDX,NFO,5.000000
45,60859,BANKNIFTY24NOV2245000PE,BANKNIFTY,24NOV2022,4500000.000000,25,OPTIDX,NFO,5.000000
46,42338,BANKNIFTY10NOV2238800PE,BANKNIFTY,10NOV2022,3880000.000000,25,OPTIDX,NFO,5.000000
47,57037,BANKNIFTY27OCT2233600CE,BANKNIFTY,27OCT2022,3360000.000000,25,OPTIDX,NFO,5.000000
48,42458,BANKNIFTY10NOV2241600PE,BANKNIFTY,10NOV2022,4160000.000000,25,OPTIDX,NFO,5.000000
49,60567,BANKNIFTY24NOV2238100PE,BANKNIFTY,24NOV2022,3810000.000000,25,OPTIDX,NFO,5.000000
50,60700,BANKNIFTY24NOV2240700PE,BANKNIFTY,24NOV2022,4070000.000000,25,OPTIDX,NFO,5.000000
51,44831,BANKNIFTY29DEC2246500PE,BANKNIFTY,29DEC2022,4650000.000000,25,OPTIDX,NFO,5.000000
52,42449,BANKNIFTY10NOV2241300CE,BANKNIFTY,10NOV2022,4130000.000000,25,OPTIDX,NFO,5.000000
53,46816,BANKNIFTY17NOV2241900PE,BANKNIFTY,17NOV2022,4190000.000000,25,OPTIDX,NFO,5.000000
54,45458,BANKNIFTY01DEC2237200CE,BANKNIFTY,01DEC2022,3720000.000000,25,OPTIDX,NFO,5.000000
55,50481,BANKNIFTY01DEC2241100CE,BANKNIFTY,01DEC2022,4110000.000000,25,OPTIDX,NFO,5.000000
56,49541,BANKNIFTY03NOV2241900PE,BANKNIFTY,03NOV2022,4190000.000000,25,OPTIDX,NFO,5.000000
57,52159,BANKNIFTY27OCT2242700CE,BANKNIFTY,27OCT2022,4270000.000000,25,OPTIDX,NFO,5.000000
58,60503,BANKNIFTY24NOV2236900PE,BANKNIFTY,24NOV2022,3690000.000000,25,OPTIDX,NFO,5.000000
59,85986,BANKNIFTY28SEP2334500PE,BANKNIFTY,28SEP2023,3450000.000000,25,OPTIDX,NFO,5.000000
60,49642,BANKNIFTY03NOV2243300PE,BANKNIFTY,03NOV2022,4330000.000000,25,OPTIDX,NFO,5.000000
61,57090,BANKNIFTY27OCT2236200PE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
62,42466,BANKNIFTY10NOV2241800CE,BANKNIFTY,10NOV2022,4180000.000000,25,OPTIDX,NFO,5.000000
63,53091,BANKNIFTY30MAR2325500PE,BANKNIFTY,30MAR2023,2550000.000000,25,OPTIDX,NFO,5.000000
64,60716,BANKNIFTY24NOV2241200CE,BANKNIFTY,24NOV2022,4120000.000000,25,OPTIDX,NFO,5.000000
65,42482,BANKNIFTY10NOV2242400PE,BANKNIFTY,10NOV2022,4240000.000000,25,OPTIDX,NFO,5.000000
66,60811,BANKNIFTY24NOV2242800PE,BANKNIFTY,24NOV2022,4280000.000000,25,OPTIDX,NFO,5.000000
67,85981,BANKNIFTY28SEP2331500CE,BANKNIFTY,28SEP2023,3150000.000000,25,OPTIDX,NFO,5.000000
68,42203,BANKNIFTY10NOV2235600PE,BANKNIFTY,10NOV2022,3560000.000000,25,OPTIDX,NFO,5.000000
69,57217,BANKNIFTY27OCT2241500CE,BANKNIFTY,27OCT2022,4150000.000000,25,OPTIDX,NFO,5.000000
70,57180,BANKNIFTY27OCT2239600PE,BANKNIFTY,27OCT2022,3960000.000000,25,OPTIDX,NFO,5.000000
71,57074,BANKNIFTY27OCT2235400PE,BANKNIFTY,27OCT2022,3540000.000000,25,OPTIDX,NFO,5.000000
72,44508,BANKNIFTY27OCT2243100CE,BANKNIFTY,27OCT2022,4310000.000000,25,OPTIDX,NFO,5.000000
73,50662,BANKNIFTY01DEC2243500CE,BANKNIFTY,01DEC2022,4350000.000000,25,OPTIDX,NFO,5.000000
74,50576,BANKNIFTY01DEC2242200CE,BANKNIFTY,01DEC2022,4220000.000000,25,OPTIDX,NFO,5.000000
75,49701,BANKNIFTY03NOV2244500PE,BANKNIFTY,03NOV2022,4450000.000000,25,OPTIDX,NFO,5.000000
76,60469,BANKNIFTY24NOV2235800CE,BANKNIFTY,24NOV2022,3580000.000000,25,OPTIDX,NFO,5.000000
77,46754,BANKNIFTY17NOV2240000CE,BANKNIFTY,17NOV2022,4000000.000000,25,OPTIDX,NFO,5.000000
78,42303,BANKNIFTY10NOV2237900PE,BANKNIFTY,10NOV2022,3790000.000000,25,OPTIDX,NFO,5.000000
79,49297,BANKNIFTY03NOV2238800PE,BANKNIFTY,03NOV2022,3880000.000000,25,OPTIDX,NFO,5.000000
80,41070,BANKNIFTY01DEC2236100CE,BANKNIFTY,01DEC2022,3610000.000000,25,OPTIDX,NFO,5.000000
81,57076,BANKNIFTY27OCT2235500PE,BANKNIFTY,27OCT2022,3550000.000000,25,OPTIDX,NFO,5.000000
82,60559,BANKNIFTY24NOV2237900PE,BANKNIFTY,24NOV2022,3790000.000000,25,OPTIDX,NFO,5.000000
83,85397,BANKNIFTY29DEC2237800PE,BANKNIFTY,29DEC2022,3780000.000000,25,OPTIDX,NFO,5.000000
84,46729,BANKNIFTY17NOV2238800PE,BANKNIFTY,17NOV2022,3880000.000000,25,OPTIDX,NFO,5.000000
85,49132,BANKNIFTY03NOV2234500CE,BANKNIFTY,03NOV2022,3450000.000000,25,OPTIDX,NFO,5.000000
86,52144,BANKNIFTY27OCT2242400PE,BANKNIFTY,27OCT2022,4240000.000000,25,OPTIDX,NFO,5.000000
87,46749,BANKNIFTY17NOV2239700PE,BANKNIFTY,17NOV2022,3970000.000000,25,OPTIDX,NFO,5.000000
88,42470,BANKNIFTY10NOV2242000CE,BANKNIFTY,10NOV2022,4200000.000000,25,OPTIDX,NFO,5.000000
89,85937,BANKNIFTY29DEC2240900CE,BANKNIFTY,29DEC2022,4090000.000000,25,OPTIDX,NFO,5.000000
90,49571,BANKNIFTY03NOV2242500PE,BANKNIFTY,03NOV2022,4250000.000000,25,OPTIDX,NFO,5.000000
91,57162,BANKNIFTY27OCT2238700PE,BANKNIFTY,27OCT2022,3870000.000000,25,OPTIDX,NFO,5.000000
92,60553,BANKNIFTY24NOV2237700CE,BANKNIFTY,24NOV2022,3770000.000000,25,OPTIDX,NFO,5.000000
93,50585,BANKNIFTY01DEC2242400CE,BANKNIFTY,01DEC2022,4240000.000000,25,OPTIDX,NFO,5.000000
94,86002,BANKNIFTY28SEP2346500PE,BANKNIFTY,28SEP2023,4650000.000000,25,OPTIDX,NFO,5.000000
95,35147,BANKNIFTY10NOV2230500PE,BANKNIFTY,10NOV2022,3050000.000000,25,OPTIDX,NFO,5.000000
